"|","|__name","|__description"
"143","Kinglets","A kinglet is a small bird in the family Regulidae. Species in this family were formerly classified with the Old World warblers. ""Regulidae"" is derived from the Latin word regulus for ""petty king"" or prince, and refers to the coloured crowns of adult birds. This family has representatives in North America and Eurasia. There are six species in this family; one, the Madeira firecrest, Regulus madeirensis, was only recently split from common firecrest as a separate species. One species, the ruby-crowned kinglet, differs sufficiently in its voice and plumage to be afforded its own genus, Corthylio."
"144","Black Guillemot","The black guillemot or tystie (Cepphus grylle) is a medium-sized seabird of the Alcidae family, native throughout northern Atlantic coasts and eastern North American coasts. It is resident in much of its range, but large populations from the high arctic migrate southwards in winter. The bird can be seen in and around its breeding habitat of rocky shores, cliffs and islands in single or smalls groups of pairs. They feed mainly by diving towards the sea floor feeding on fish, crustaceans or other benthic invertebrates. They are listed on the IUCN red list as a species of least concern.\nBoth sexes have very similar appearances with black plumage and a large white patch on the upper side of their wings in summer. The bill is also black, being rather long and slender, while the feet are coral-red. In winter adult underparts are white and the upperparts are a pale grey with the back and shoulders exhibiting barred light grey and white patterning.\nThe birds breed in solitary pairs or small groups during their breeding season starting in late February and early May. Pairs nest  above the high tide mark, usually in cliff crevices or gaps in boulders. Many pairs lack true nests and lay directly on the ground. Breeding pairs will typically lay 2-egg clutches and raise 2 chicks to fledging. Eggs are a dull white to pale green in color, boldly marked with dark spots and blotches. Incubation by both parents typically lasts 28 to 32 days. Once hatched, chicks are covered with black down and receive care from the parents until they fledge aged 30 – 40 days, unaccompanied by their parents. Once fledged, chicks are totally independent and by age three or four years they will begin to re-join their natal colony."
"145","Black-legged Kittiwake","The black-legged kittiwake (Rissa tridactyla) is a seabird species in the gull family Laridae. This species was first described by Carl Linnaeus in his landmark 1758 10th edition of Systema Naturae as Larus tridactylus. The English name is derived from its call, a shrill 'kittee-wa-aaake, kitte-wa-aaake'. In North America, this species is known as the black-legged kittiwake to differentiate it from the red-legged kittiwake, but in Europe, where it is the only member of the genus, it is often known just as kittiwake."
"146","Short-billed Dowitcher","The short-billed dowitcher (Limnodromus griseus), like its congener the long-billed dowitcher, is a medium-sized, stocky, long-billed shorebird in the family Scolopacidae.\nIt is an inhabitant of North America, Central America, the Caribbean, and northern South America. It is strongly migratory; it completely vacates in breeding areas during the snow-bound months. This species favors a variety of habitats including tundra in the north to ponds and mudflats in the south. It feeds on invertebrates often by rapidly probing its bill into mud in a sewing machine fashion. It and the very similar long-billed dowitcher were considered one species until 1950. Field identification of the two American Limnodromus remains difficult today. Distinguishing wintering or juvenile short-billed dowitchers from the long-billed species is very difficult and, even given examination their subtlety different body shapes, cannot always be isolated to a particular species. They differ most substantially in vocalizations. The names of American dowitchers are misleading, as there is much overlap in their bill lengths. Only a small percentage can be identified by this character alone."
"147","Green-winged Teal","The green-winged teal (Anas carolinensis) or American teal is a common and widespread duck that breeds in the northern areas of North America except on the Aleutian Islands. It was considered conspecific with the Eurasian teal (A. crecca) for some time, but the two have since been split into separate species. The American Ornithological Society continues to debate this determination; however, nearly all other authorities consider it distinct based on behavioral, morphological, and molecular evidence. The scientific name is from Latin Anas, ""duck"" and carolinensis, ""of Carolina"".\nThis dabbling duck is strongly migratory and winters far south of its breeding range. It is highly gregarious outside of the breeding season and will form large flocks. In flight, the fast, twisting flocks resemble waders."
"148","Cattle Egret","The cattle egret (formerly genus Bubulcus) is a cosmopolitan clade of heron (family Ardeidae) in the genus Ardea found in the tropics, subtropics, and warm-temperate zones. According to the IOC bird list, it contains two species, the western cattle egret and the eastern cattle egret, although some authorities regard them as a single species. Despite the similarities in plumage to the egrets of the genus Egretta, it actually belongs to the genus Ardea. Originally native to parts of Asia, Africa, and Europe, it has undergone a rapid expansion in its distribution and successfully colonised much of the rest of the world in the last century.\nThey are white birds adorned with buff plumes in the breeding season. They nest in colonies, usually near bodies of water and often with other wading birds. The nest is a platform of sticks in trees or shrubs. Cattle egrets exploit drier and open habitats more than other heron species. Their feeding habitats include seasonally inundated grasslands, pastures, farmlands, wetlands, and rice paddies. They often accompany cattle or other large mammals, catching insect and small vertebrate prey disturbed by these animals. Some populations are migratory and others show postbreeding dispersal.\nThe adult cattle egret has few predators, but birds or mammals may raid its nests, and chicks may be lost to starvation, calcium deficiency, or disturbance from other large birds. Cattle egrets maintain a special relationship with cattle, which extends to other large grazing mammals; wider human farming is believed to be a major cause of their suddenly expanded range. The cattle egret removes ticks and flies from cattle and consumes them. This benefits both organisms, but it has been implicated in the spread of tick-borne animal diseases."
"149","Wilson's Snipe","Wilson's snipe (Gallinago delicata) is a small, stocky shorebird. The generic name Gallinago is Neo-Latin for a woodcock or snipe from Latin gallina, ""hen"" and the suffix -ago, ""resembling"". The specific name delicata is Latin for ""dainty"".\nThis species was considered to be a subspecies of the common snipe (G. gallinago) until 2003 when it was given its own species status, though not all authorities recognized this immediately. Wilson's snipe differs from the latter species in having a narrower white trailing edge to the wings, and eight pairs of tail feathers instead of the typical seven of the common snipe. Its common name commemorates the American ornithologist Alexander Wilson."
"150","Red-breasted Sapsucker","The red-breasted sapsucker (Sphyrapicus ruber) is a medium-sized woodpecker of the forests of the west coast of North America."
"151","Old World Warblers","The Old World warblers are a large group of birds formerly grouped together in the bird family Sylviidae. They are not closely related to the New World warblers. The family held over 400 species in over 70 genera, and were the source of much taxonomic confusion. Two families were split out initially, the cisticolas into Cisticolidae and the kinglets into Regulidae. In the past 20–30 years they have been the subject of much research and many species are now placed into other families, including the Acrocephalidae, Cettiidae, Phylloscopidae, and Megaluridae. In addition some species have been moved into existing families or have not yet had their placement fully resolved. Only a small number of warblers, in just two genera, are now retained in the family Sylviidae."
"152","Anna's Hummingbird","Anna's hummingbird (Calypte anna) is a North American species of hummingbird  named after Anna Masséna, Duchess of Rivoli.\nIt is native to western coastal regions of North America. Until the late 20th century, Anna's hummingbirds migrated from locations as far north as Alaska and coastal British Columbia, returning south to breed in Baja California and Southern California. \nSince the 1970s, ornamental plants in residential areas along the Pacific coast and inland deserts provided expanded nectar and nesting sites, allowing the species to expand its breeding range to northern coastal regions without migrating. Year-round residence of Anna's hummingbirds in the Pacific Northwest is an example of ecological release dependent on acclimation to colder winter temperatures, introduced plants, and human provision of nectar feeders during winter.\nThese birds feed on nectar from flowers using a long extendable tongue. They also consume small insects and other arthropods caught in flight or gleaned from vegetation."
"153","Canvasback","The canvasback (Aythya valisineria) is a species of diving duck, the largest found in North America."
"154","American Woodcock","The American woodcock (Scolopax minor), sometimes colloquially referred to as the timberdoodle, mudbat, bogsucker, night partridge, or Labrador twister is a small shorebird species found primarily in the eastern half of North America. Woodcocks spend most of their time on the ground in brushy, young-forest habitats, where the birds' brown, black, and gray plumage provides excellent camouflage.\nThe American woodcock is the only species of woodcock inhabiting North America. Although classified with the sandpipers and shorebirds in the family Scolopacidae, the American woodcock lives mainly in upland settings. Its many folk names include timberdoodle, bogsucker, night partridge, brush snipe, hokumpoke, and becasse.\nThe population of the American woodcock has fallen by an average of slightly more than 1% annually since the 1960s. Most authorities attribute this decline to a loss of habitat caused by forest maturation and urban development. Because of the male woodcock's unique, beautiful courtship flights, the bird is welcomed as a harbinger of spring in northern areas. It is also a popular game bird, with about 540,000 killed annually by some 133,000 hunters in the United States.\nIn 2008, wildlife biologists and conservationists released an American woodcock conservation plan presenting figures for the acreage of early successional habitat that must be created and maintained in the United States and Canada to stabilize the woodcock population at current levels, and to return it to 1970s densities."
"155","Cooper's Hawk","Cooper's hawk (Astur cooperii) is a medium-sized hawk native to the North American continent and found from southern Canada to Mexico. This species was formerly placed in the genus Accipiter. As in many birds of prey, the male is smaller than the female. The birds found east of the Mississippi River tend to be larger on average than the birds found to the west. It is easily confused with the smaller but similar sharp-shinned hawk. (Accipiter striatus)\nThe species was named in 1828 by Charles Lucien Bonaparte in honor of his friend and fellow ornithologist, William Cooper. Other common names for Cooper's hawk include: big blue darter, chicken hawk, flying cross, hen hawk, quail hawk, striker, and swift hawk. Many of the names applied to Cooper's hawks refer to their ability to hunt large and evasive prey using extremely well-developed agility. This species primarily hunts small-to-medium-sized birds, but will also commonly take small mammals and sometimes reptiles.\nLike most related hawks, Cooper's hawks prefer to nest in tall trees with extensive canopy cover and can commonly produce up to two to four fledglings depending on conditions. Breeding attempts may be compromised by poor weather, predators and anthropogenic causes, in particular the use of industrial pesticides and other chemical pollution in the 20th century. Despite declines due to manmade causes, the bird remains a stable species."
"156","Thrushes","The thrushes are a passerine bird family, Turdidae, with a worldwide distribution. The family was once much larger before biologists reclassified the former subfamily Saxicolinae, which includes the chats and European robins, as Old World flycatchers. Thrushes are small to medium-sized ground living birds that feed on insects, other invertebrates, and fruit. Some unrelated species around the world have been named after thrushes due to their similarity to birds in this family."
"157","Eared Grebe","The black-necked grebe or eared grebe (Podiceps nigricollis) is a member of the grebe family of water birds. It was described in 1831 by Christian Ludwig Brehm. Its breeding plumage features distinctive ochre-coloured feathers which extend behind its eye and over its ear coverts. The rest of the upper parts, including the head, neck, and breast, are coloured black to blackish brown. The flanks are tawny rufous to maroon-chestnut, and the abdomen is white. In its non-breeding plumage, this bird has greyish-black upper parts, including the top of the head and a vertical stripe on the back of the neck. The flanks are also greyish-black. The rest of the body is a white or whitish colour. The juvenile has more brown in its darker areas. This species is present in parts of Africa, Eurasia, and the Americas.\nThe black-necked grebe uses multiple foraging techniques. Insects, which make up the majority of this bird's diet, are caught either on the surface of the water or when they are in flight; this species occasionally practices foliage gleaning. This grebe dives to catch crustaceans, molluscs, tadpoles, and small frogs and fish. When moulting at saline lakes, this bird feeds mostly on brine shrimps. The black-necked grebe makes a floating cup nest on an open lake. The nest cup is covered with a disc. This nest is located both in colonies and by itself. During the breeding season, which varies depending on location, this species will lay one (sometimes two) clutch of three to four eggs. The number of eggs is sometimes larger due to conspecific brood parasitism. After a 21-day incubation period, the eggs hatch, and then the nest is deserted. After about 10 days, the parents split up the chicks between themselves. After this, the chicks become independent in about 10 days, and fledge in about three weeks.\nAlthough it generally avoids flight, the black-necked grebe travels as far as 6,000 kilometres (3,700 mi) during migration. In addition, it becomes flightless for at least a month after completing a migration to reach an area where it can moult safely. During this moult, the grebe can double in weight. The migration to reach these areas can be dangerous, sometimes with thousands of grebe deaths. In spite of this, it is classified as a least concern species by the International Union for Conservation of Nature (IUCN). It is likely that this is the most numerous grebe in the world. There are potential threats to it, such as oil spills, but these are not likely to present a major risk to the overall population."
"158","Wilson's Phalarope","Wilson's phalarope (Phalaropus tricolor) is a small wader. This bird, the largest of the phalaropes, breeds in the prairies of North America in western Canada and the western United States. It is migratory, wintering in inland salt lakes near the Andes in Argentina. They are passage migrants through Central America around March/April and again during September/October. The species is a rare vagrant to western Europe.\nThis species is often very tame and approachable. Sometimes it is placed in a monotypic genus Steganopus."
"159","Redhead","Red hair, also known as ginger hair, is a human hair color found in 2–6% of people of Northern or Northwestern European ancestry and lesser frequency in other populations. It is most common in individuals homozygous for a recessive allele on chromosome 16 that produces an altered version of the MC1R protein.\nRed hair varies in hue from a deep burgundy or bright copper, or auburn, to burnt orange or red-orange to strawberry blond. Characterized by high levels of the reddish pigment pheomelanin and relatively low levels of the dark pigment eumelanin, it is typically associated with fair skin color, lighter eye color, freckles, and sensitivity to ultraviolet light.\nCultural reactions to red hair have been varied. The term ""redhead"" has been in use since at least 1510, while the term ""ginger"" is sometimes used, especially in Britain and Ireland, to describe a person with red hair.\nThe origin of red hair can be traced to Central Asia, caused by a mutation in the MC1R gene."
"160","Green Heron","The green heron (Butorides virescens) is a small heron of North and Central America. Butorides is from Middle English butor ""bittern"" and Ancient Greek -oides, ""resembling"", and virescens is Latin for ""greenish"".\nIt was long considered conspecific with its sister species the striated heron (Butorides striata), and together they were called ""green-backed heron"". Birds of the nominate subspecies (no matter which taxonomic arrangement is preferred) are extremely rare vagrants to western Europe—for example, a sighting in Pembrokeshire in 2018 was only the second recorded sighting in Wales; individuals from the Pacific coast of North America may similarly stray as far as Hawaii."
"161","Ring-necked Duck","The ring-necked duck (Aythya collaris) is a diving duck from North America commonly found in freshwater ponds and lakes. The scientific name is derived from Greek aithuia, an unidentified seabird mentioned by authors including  Hesychius and Aristotle, and Latin  collaris, ""of the neck"" from collum, ""neck""."
"162","American Coot","The American coot (Fulica americana), also known as a mud hen or pouldeau, is a bird of the family Rallidae. Though commonly mistaken for ducks, American coots are only distantly related to ducks, belonging to a separate order. Unlike the webbed feet of ducks, coots have broad, lobed scales on their lower legs and toes that fold back with each step to facilitate walking on dry land. Coots live near water, typically inhabiting wetlands and open water bodies in North America. Groups of coots are called covers or rafts. The oldest known coot lived to be 22 years old.\nThe American coot is a migratory bird that occupies most of North America. It lives in the Pacific and southwestern United States and Mexico year-round and occupies more northeastern regions during the summer breeding season. In the winter they can be found as far south as Panama. Coots generally build floating nests and lay 8–12 eggs per clutch. Females and males have similar appearances, but they can be distinguished during aggressive displays by the larger ruff (head plumage) on the male. American coots eat primarily algae and other aquatic plants but also animals (both vertebrates and invertebrates) when available.\nThe American coot is closely related to the Eurasian coot (Fulica atra), which occupies the same ecological niche in Eurasia and Australia as the American coot does in North America. Eurasian coots can be distinguished from this species by the absence of a red callus above the bird's frontal shield.\nThe American coot is listed as ""Least Concern"" under the IUCN conservation ratings. Hunters generally avoid killing American coots because their meat is not as sought after as that of ducks.\nAmerican coots display several interesting breeding habits; mothers will preferentially feed offspring with the brightest plume feathers, which has resulted in coot chicks having brightly ornamented plumage which becomes drabber as they age. American coots are also susceptible to conspecific brood parasitism and have evolved mechanisms to differentiate their offspring from those of parasitic females."
"163","Northern Pygmy-Owl","The northern pygmy owl (Glaucidium californicum) is a small owl native to western North America."
"164","Ladder-backed Woodpecker","The ladder-backed woodpecker (Dryobates scalaris) is a North American woodpecker."
"165","Mockingbirds, Thrashers, and Allies","The mimids are the New World family of passerine birds, Mimidae, that includes thrashers, mockingbirds, tremblers, and the New World catbirds. As their name (Latin for mimic) suggests, these birds are notable for their vocalization, especially some species' remarkable ability to mimic a wide variety of birds and other sounds heard outdoors. They are commonly referred to as mimic thrushes but are not, in fact, thrushes (which are members of family Turdidae)"
"166","Harris's Hawk","Harris's hawk (Parabuteo unicinctus), formerly known as the bay-winged hawk or dusky hawk, and known in Latin America as the peuco, is a medium-large bird of prey that breeds from the southwestern United States south to Chile, central Argentina, and Brazil. This bird is sometimes reported to be at large in Western Europe, especially Britain, but it is a popular species in falconry and these records almost invariably all refer to escapes from captivity.\nThe name is derived from the Greek para, meaning beside, near or like, and the Latin buteo, referring to a kind of buzzard; uni meaning once; and cinctus meaning girdled, referring to the white band at the tip of the tail. John James Audubon gave this bird its English name in honor of his ornithological companion, financial supporter, and friend Edward Harris.\nHarris's hawk is notable for its behavior of hunting cooperatively in packs consisting of tolerant groups, while other raptors often hunt alone. Harris's hawks' social nature has been attributed to their intelligence, which makes them easy to train and has made them a popular bird for use in falconry."
"167","Costa's Hummingbird","Costa's hummingbird (Calypte costae) is a species of hummingbird in the family Trochilidae. It breeds in the arid, semi-arid and Mediterranean climate zones of the Southwestern United States and northwestern Mexico, mainly in Southern California and the Baja California Peninsula. Like many hummingbirds in the region, it can be found on the Pacific coast, often visiting backyard hummingbird feeders and gardens with flowering plants, as well as in more wild ecosystems, such as the conifer and oak forests, chaparral, and high desert habitats found further inland. When not in the US, the species often winters in western Mexico."
"168","Greater Scaup","The greater scaup (Aythya marila), just scaup in Europe or, colloquially, ""bluebill"" in North America, is a mid-sized diving duck, larger than the closely related lesser scaup and tufted duck. It spends the summer months breeding in Iceland, east across Scandinavia, northern Russia and Siberia, Alaska, and northern Canada. During the winter, it migrates south to the coasts of Europe, eastern Asia, and North America.\nDrake greater scaup are larger and have more rounded heads than the females; they have a bright blue bill and yellow eyes. Their heads are dark, with a green to purple (depending on light angle) gloss; the breast is black, the belly white, the upperparts pale grey, and the wing shows a strong white stripe. The females are mostly brown, again with white on the wing. They have dull blue bills and a white patch on the face.\nGreater scaup nest near water, typically on islands in northern lakes or on floating mats of vegetation. They begin breeding at age two, but start building nests in the first year. The drakes have a complex courtship, which takes place on the return migration to the summer breeding grounds and concludes with the formation of monogamous pairs. Females lay a clutch of six to nine olive-buff-coloured eggs. The eggs hatch in 24 to 28 days. The down-covered ducklings are able to follow their mother in her search for food immediately after hatching.\nGreater scaup eat aquatic molluscs, plants, and insects, which they obtain by diving underwater to depths of 0.5–6 m, exceptionally 10 m. They form large groups, called ""rafts"", that can number in the thousands. Their main threat is human development, although they are also preyed upon by owls, skunks, raccoons, foxes, coyotes, and humans. Greater scaup populations have been declining since the 1980s; however, they are still listed as a species of least concern on the IUCN Red List."
"169","Ring-necked Pheasant","The common pheasant (Phasianus colchicus), ring-necked pheasant, or blue-headed pheasant, a bird in the pheasant family (Phasianidae). The genus name comes from Latin phasianus 'pheasant'. The species name colchicus is Latin for 'of Colchis' (modern day Georgia), a country on the Black Sea where pheasants became known to Europeans. Although Phasianus was previously thought to be closely related to the genus Gallus, the genus of junglefowl and domesticated chickens, recent studies show that they are in different subfamilies, having diverged over 20 million years ago.\nIt is native to Asia, where it is widespread, and also the extreme southeast of Europe in the northern foothills of the Caucasus Mountains. It has been widely introduced elsewhere as a game bird. In parts of its range, mainly in places where none of its relatives occur such as in Europe, where it is naturalised, it is simply known as the ""pheasant"". Ring-necked pheasant is both the collective name for a number of subspecies and their intergrades that have white neck rings, and the name used for the species as a whole in North America.\nIt is a well-known gamebird, among those of more than regional importance perhaps the most widespread and ancient one in the whole world. The common pheasant is one of the world's most hunted birds; it has been introduced for that purpose to many regions, and is also common on game farms where it is commercially bred. The ring-necked subspecies group in particular are commonly bred and were introduced to many parts of the world; the game farm stock, though no distinct breeds have been developed yet, can be considered semi-domesticated. The ring-necked pheasant is the state bird of South Dakota, one of only two US state birds that is not a species native to the United States.\nThe green pheasant (P. versicolor) of Japan is sometimes considered a subspecies of the common pheasant. Though the species produce fertile hybrids wherever they coexist, this is simply a typical feature among fowl (Galloanseres), in which postzygotic isolating mechanisms are slight compared to most other birds. The species apparently have somewhat different ecological requirements and at least in its typical habitat, the green pheasant outcompetes the common pheasant. The introduction of the latter to Japan has therefore largely failed."
"170","Great Cormorant","The great cormorant (Phalacrocorax carbo), known as the black shag or kawau in New Zealand, formerly also known as the great black cormorant across the Northern Hemisphere, the black cormorant in Australia, and the large cormorant in India, is a widespread member of the cormorant family of seabirds. It breeds in much of the Old World, Australasia, and the Atlantic coast of North America."
"171","Mourning Dove","The mourning dove (Zenaida macroura) is a member of the dove family, Columbidae. The bird is also known as the American mourning dove, the rain dove, the chueybird, colloquially as the turtle dove, and it was once known as the Carolina pigeon and Carolina turtledove. It is one of the most abundant and widespread North American birds and a popular gamebird, with more than 20 million birds (up to 70 million in some years) shot annually in the U.S., both for sport and meat. Its ability to sustain its population under such pressure is due to its prolific breeding; in warm areas, one pair may raise up to six broods of two young each in a single year. The wings make an unusual whistling sound upon take-off and landing, a form of sonation. The bird is a strong flier, capable of speeds up to 88 km/h (55 mph).\nMourning doves are light gray and brown and generally muted in color. Males and females are similar in appearance. The species is generally monogamous, with two squabs (young) per brood. Both parents incubate and care for the young. Mourning doves eat almost exclusively seeds, but the young are fed crop milk by their parents."
"172","Starlings and Allies","Starlings are small to medium-sized passerine (perching) birds known for the often dark, glossy iridescent sheen of their plummage; their complex vocalizations including mimicing; and their distinctive, often elaborate swarming behavior, known as murmuration."
"173","Black-crowned Night-Heron","The black-crowned night heron (Nycticorax nycticorax) [or black-capped night heron], commonly shortened to just night heron in Eurasia, is a medium-sized heron found throughout a large part of the world, including parts of Europe, Asia, and North and South America. In Australasia it is replaced by the closely related Nankeen night heron (N. caledonicus), with which it has hybridised in the area of contact."
"174","Lesser Scaup","The lesser scaup (Aythya affinis) is a small North American diving duck that migrates south as far as Central America in winter. It is colloquially known as the little bluebill or broadbill because of its distinctive blue bill. The origin of the name scaup may stem from the bird's preference for feeding on scalp—the Scottish word for clams, oysters, and mussels; however, some credit it to the female's discordant scaup call as the name's source. It is apparently a very close relative of the Holarctic greater scaup or ""bluebill"" (A. marila), with which it forms a superspecies. The scientific name is derived from Ancient Greek aithuia an unidentified seabird mentioned by authors including Hesychius and Aristotle, and Latin, affinis ""related to"", from its resemblance to the greater scaup."
"175","Red-shouldered Hawk","The red-shouldered hawk (Buteo lineatus) is a medium-sized buteo. Its breeding range spans eastern North America and along the coast of California and northern to northeastern-central Mexico. It is a permanent resident throughout most of its range, though northern birds do migrate, mostly to central Mexico. The main conservation threat to the widespread species is deforestation."
"176","Peregrine Falcon","The peregrine falcon (Falco peregrinus), also known simply as the peregrine, is a cosmopolitan bird of prey (raptor) in the family Falconidae. A large, crow-sized falcon, it has a blue-grey back, barred white underparts, and a black head. The peregrine is renowned for its speed. It can reach over 320 km/h (200 mph) during its characteristic hunting stoop (high-speed dive), making it the fastest animal on the planet. According to a National Geographic TV program, the highest measured speed of a peregrine falcon is 389 km/h (242 mph). However, radar tracks have never confirmed this, and unimpeachable measurements of speeds even close to the oft-quoted 300 km/h (190 mph) have never been reliably confirmed, and the highest reliably measured speed is 184 km/h (114 mph). As is typical for bird-eating (avivore) raptors, peregrine falcons are sexually dimorphic, with females being considerably larger than males. Historically, it has also been known as ""black-cheeked falcon"" in Australia, and ""duck hawk"" in North America.\nThe breeding range includes land regions from the Arctic tundra to the tropics. It can be found nearly everywhere on Earth, except extreme polar regions, very high mountains, and most tropical rainforests; the only major ice-free landmass from which it is entirely absent is New Zealand. This makes it the world's most widespread raptor and one of the most widely found wild bird species. In fact, the only land-based bird species found over a larger geographic area owes its success to human-led introduction; the domestic and feral pigeons are both domesticated forms of the rock dove, a major prey species for Eurasian Peregrine populations. Due to their abundance over most other bird species in cities, feral pigeons support many peregrine populations as a staple food source, especially in urban settings.\nThe peregrine is a highly successful example of urban wildlife in much of its range, taking advantage of tall buildings as nest sites and an abundance of prey such as pigeons and ducks. Both the English and scientific names of this species mean ""wandering falcon"", referring to the migratory habits of many northern populations. A total of 18 or 19 regional subspecies are accepted, which vary in appearance; disagreement existed in the past over whether the distinctive Barbary falcon was represented by two subspecies of Falco peregrinus or was a separate species, F. pelegrinoides, and several of the other subspecies were originally described as species. The genetic differential between them (and also the difference in their appearance) is very small, only about 0.6–0.8% genetically differentiated, showing the divergence is relatively recent, during the time of the Last Ice Age; all the major ornithological authorities now treat the barbary falcon as a subspecies.\nAlthough its diet consists almost exclusively of medium-sized birds, the peregrine will sometimes hunt small mammals, small reptiles, or even insects. Reaching sexual maturity at one year, it mates for life and nests in a scrape, normally on cliff edges or, in recent times, on tall human-made structures. The peregrine falcon became an endangered species in many areas because of the widespread use of certain pesticides, especially DDT. Since the ban on DDT from the early 1970s, populations have recovered, supported by large-scale protection of nesting places and releases to the wild.\nThe peregrine falcon is a well-respected falconry bird due to its strong hunting ability, high trainability, versatility, and availability via captive breeding. It is effective on most game bird species, from small to large. It has also been used as a religious, royal, or national symbol across multiple eras and areas of human civilization."
"177","Nuttall's Woodpecker","Nuttall's woodpecker (Dryobates nuttallii) is a species of woodpecker named after naturalist Thomas Nuttall in 1843. They are found in oak woodlands of California and are similar to the ladder-backed woodpecker in both genetics and appearance."
"178","Wagtails and Pipits","The wagtails, longclaws, and pipits are a family, Motacillidae, of small passerine birds with medium to long tails. Around 70 species occur in five genera. The longclaws are entirely restricted to the Afrotropics, and the wagtails are predominantly found in Europe, Africa, and Asia, with two species migrating and breeding in Alaska. The pipits have the most cosmopolitan distribution, being found mostly in the Old World, but occurring also in the Americas and oceanic islands such as New Zealand and the Falklands. Two African species, the yellow-breasted pipit and Sharpe's longclaw, are sometimes placed in a separate seventh genus, Hemimacronyx, which is closely related to the longclaws."
"179","Common Eider","The common eider (pronounced ) (Somateria mollissima), also called St. Cuthbert's duck or Cuddy's duck, is a large (50–71 cm (20–28 in) in body length) sea-duck that is distributed over the northern coasts of Europe, North America and eastern Siberia. It breeds in Arctic and some northern temperate regions, but winters somewhat farther south in temperate zones, when it can form large flocks on coastal waters. It can fly at speeds up to 113 km/h (70 mph).\nThe eider's nest is built close to the sea and is lined with eiderdown, plucked from the female's breast. This soft and warm lining has long been harvested for filling pillows and quilts, but in more recent years has been largely replaced by down from domestic farm-geese and synthetic alternatives. Although eiderdown pillows or quilts are now a rarity - typically being marketed as luxury goods - eiderdown harvesting continues and is sustainable, as it can be done after the ducklings leave the nest with no harm to the birds."
"180","Calliope Hummingbird","The calliope hummingbird ( kə-LY-ə-pee; Selasphorus calliope) is the smallest bird native to the United States and Canada. It has a western breeding range mainly from California to British Columbia, and migrates to the Southwestern United States, Mexico, and Central America for its wintering grounds. The calliope hummingbird is the smallest known long-distance bird migrant, completing  migrations twice per year of some 9,000 km (5,600 mi).\nIt was previously considered the only member of the genus Stellula (meaning little star), but research evidence suggests its existing placement in the genus Selasphorus. The bird was named after the Greek muse Calliope."
"181","Harlequin Duck","The harlequin duck (Histrionicus histrionicus) is a small sea duck. It takes its name from Harlequin (Italian Arlecchino, French Arlequin), a colourfully dressed character in Commedia dell'arte. The species name comes from the Latin word ""histrio"", meaning ""actor"". Other names include painted duck, totem pole duck, rock duck, glacier duck, mountain duck, white-eyed diver, squeaker, lords and ladies and blue streak."
"182","Burrowing Owl","The burrowing owl (Athene cunicularia), also called the shoco, is a small, long-legged, primarily terrestrial—though not flightless—species of owl native to the open landscapes of North and South America. They are typically found in grasslands, rangelands, agricultural areas, deserts, or any other open, dry area with low vegetation. They nest and roost in burrows, and, despite their common name, do not often construct these dwellings themselves, rather repurposing disused burrows or tunnels previously excavated and inhabited by other species, such as American badgers (Taxidea taxus), foxes (Vulpes sp.), ground squirrels or prairie dogs (Cynomys spp.), among others. \nUnlike most owls, burrowing owls are often active during the day, although they tend to avoid the heat of midday. But, similar to many other species of owls, they are mostly crepuscular hunters, as they can utilize their night vision and attuned hearing to maximum potential during sunrise and sunset. Having evolved to live on open grasslands and prairie habitat (as well as badlands, chaparral and desert ecosystems), as opposed to dense forest, the burrowing owl has developed longer legs than other owls, a trait which enables it to sprint when pursuing its prey, not dissimilarly to the greater roadrunner, as well as providing momentum when taking flight; however, burrowing owls typically only become airborne for short bursts, such as when fleeing threats, and typically do not fly very high off of the ground."
"183","Waxwings","The waxwings are three species of passerine birds classified in the genus Bombycilla. They are pinkish-brown and pale grey with distinctive smooth plumage in which many body feathers are not individually visible, a black and white eyestripe, a crest, a square-cut tail and pointed wings. Some of the wing feathers have red tips, the resemblance of which to sealing wax gives these birds their common name.  According to most authorities, this is the only genus placed in the family Bombycillidae, although sometimes the family is extended to include related taxa that are more usually included in separate families: silky flycatchers (Ptiliogonatidae (e.g. Phainoptila)), Hypocolius (Hypocoliidae), Hylocitrea (Hylocitreidae), palmchats (Dulidae) and the Hawaiian honeyeaters (Mohoidae). There are three species: the Bohemian waxwing (B. garrulus), the Japanese waxwing (B. japonica) and the cedar waxwing (B. cedrorum).\nWaxwings are not long-distance migrants, but move nomadically outside the breeding season. Waxwings mostly feed on insects in summer and fruit in winter; at times of year when fruit and insects are unavailable, they may also feed on sap, buds, and flowers. They catch insects by gleaning through foliage or in mid-air. They often nest near water, the female building a loose nest at the fork of a branch, well away from the trunk of the tree. She also incubates the eggs, the male bringing her food to the nest, and both sexes help rear the young. Waxwings appear in art and have been mentioned in literature."
"184","Yellow-crowned Night-Heron","The yellow-crowned night heron (Nyctanassa violacea), is one of two species of night heron in genus Nyctanassa. Unlike the black-crowned night heron, which has a worldwide distribution, the yellow-crowned is restricted to the Americas. It is known as the bihoreau violacé in French and the pedrete corona clara or yaboa común in some Spanish-speaking countries."
